Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
50,57,67,97,27,43,0,6,700,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574
32,109,24,155,17,67,3,4,696,81,799199.0,18.66,1012.0,78.95,69.24,88.84,4084.0,1367
91,256,243,1243,112,450,2,3,567,61,3343079.0,38.41,988.0,79.69,70.51,88.8,8535.0,6824
73,258,71,157,19,59,10,8,813,135,852043.0,8.92,1004.0,68.6,59.05,78.24,5838.0,1392
89,120,47,170,18,69,11,7,1268,137,748593.0,10.25,1007.0,70.97,61.08,80.98,7161.0,1327
53,63,20,74,5,25,5,5,632,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824
52,206,53,427,68,144,0,5,797,118,1206563.0,36.98,971.0,73.22,62.26,83.88,6598.0,2694
67,174,85,178,22,136,0,5,694,81,659039.0,31.19,971.0,71.41,61.01,81.52,6604.0,1822
39,132,87,396,41,141,1,5,1172,120,1032275.0,11.64,1018.0,71.54,60.37,83.01,4790.0,2548
36,21,9,20,2,7,0,2,244,30,0.0,0.0,0.0,0.0,0.0,58.97,4653.0,235
146,429,265,2169,276,327,14,4,721,86,4062160.0,36.49,983.0,76.43,66.21,86.5,12383.0,8551
63,171,113,429,74,140,6,9,1691,151,1537520.0,17.73,1017.0,76.97,66.98,87.19,8070.0,3363
63,15,9,31,0,8,0,3,524,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249
59,150,81,268,30,118,3,6,688,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842
48,165,93,985,164,197,13,6,336,66,817761.0,60.24,959.0,88.85,83.74,93.77,1736.0,2857
34,113,59,533,92,93,1,6,194,45,639962.0,64.63,980.0,85.53,79.42,91.56,1966.0,1598
53,22,72,188,13,161,3,11,626,120,1513614.0,41.01,964.0,74.49,66.97,81.82,7397.0,1809
58,36,73,506,58,143,7,8,362,164,2090276.0,22.76,921.0,85.79,77.76,93.23,3204.0,3415
74,126,64,587,4,112,7,9,711,131,1550822.0,79.68,924.0,83.03,76.79,88.8,6509.0,2979
78,51,105,566,39,230,5,10,697,147,2877961.0,30.32,931.0,76.84,66.92,86.15,10034.0,3603
25,33,27,88,6,50,2,4,195,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801
32,45,40,151,8,32,2,6,929,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168
30,54,79,520,104,176,3,4,490,96,1387478.0,84.05,920.0,85.78,77.37,93.59,2140.0,7472
25,51,32,157,24,158,3,6,360,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429
